Title,Description,Offer Semester,Lecturers,Assessments,Workload
"""CCCH9041 – The Rule of Law in Modern China""","This course is under the thematic cluster(s) of:This course examines from a historical perspective the legal transformations in 20th century China and developments towards the rule of law. First, the key concepts of the rule of law are introduced in a straightforward way suitable for students from all backgrounds. The course then examines the Chinese legal tradition up until the late Qing dynasty, including the legal and constitutional reforms introduced in response to the challenge of the West. This is followed by looking at the continuation of the late Qing legal reforms in the Republic of China, including the move to one-party rule under the Nationalist Government, legal and constitutional reforms in Taiwan, and the development of the rule of law there.This course also covers legal thought and legal developments in the People’s Republic of China after 1949. The final topic is the modernization of the Chinese legal system in the era of “reform and opening”, which considers the legal reforms that have accompanied the move from a socialist planned economy to a market economy, constitutional reforms to protect property and human rights, and the legal practice of “One Country, Two Systems” in the Special Administrative Regions of Hong Kong and Macau.",Second Semester (Wed),"- Professor A.H.Y. Chen Department of Law, Faculty of Law: Tel: 3917 2943 Email: albert.chen@hku.hk
- Professor A.H.Y. Chen Department of Law, Faculty of Law: Tel: 3917 2943 Email: albert.chen@hku.hk
- Dr D.Y.K. Kwok Department of Law, Faculty of Law: Tel: 3917 2966 Email: davkwok@hku.hk
- Dr E. Ip Department of Law, Faculty of Law: Tel: 3917 2961 Email: ericcip@hku.hk
","- Term paper: 50
- Group project: 25
- Participation in tutorials / group discussions: 25","- Lectures: 24
- Tutorials: 10
- Reading / Self-study: 50
- Assessment: Essay writing: 30
- Assessment: Group project (incl preparation, reporting writing and presentation): 20
- Total: 134"
"""CCHU9053 – Contested Words, Disputed Symbols""","This course is under the thematic cluster of:Words and symbols, as two indispensable kinds of signs created and maintained for human communication, are often the subject of profound controversy. To explore how contestable these signs are, we can delve into several essential questions: What is the nature of words/symbols/signs? How do we identify them and prolong their identity (enough for us to recount and argue about the ‘same word’/‘same symbol’)? How do they mean – with reference to an ontological reality, or not at all? Based on the answers to the above, how do we strike a balance between the determinacy of words and symbols needed for stabilization, equality and fairness, correctness, etc., and the indeterminacy of these signs for creativity and the freedom to express oneself?These are questions we will address and rethink over and over again as we dive into the multitude of discourses in which we find something about words or symbols disputable – discourses such as law, science, gender, race, linguistics, digital communication, etc. By analyzing such disputes, we will realize that they are merely manifestations of an essential nature of language and communication, and come to reflect on people’s communicative strategies and reflexivity, the sources of authority to which they appeal and the types of identity/power positions they take. At stake in such disputes include but are not limited to people’s freedom of expression, their own voice in society, the control and censorship of the public sphere, the boundary between lay and non-lay discourse, the ownership of symbols and words, and the right to control their origin, use and/or interpretation.",First semester (Wed),"- Dr S.M.K. Kwok School of English, Faculty of Arts: Tel: 3917 7281 Email: sineadk@hku.hk
- Dr S.M.K. Kwok School of English, Faculty of Arts: Tel: 3917 7281 Email: sineadk@hku.hk
","- Participation in tutorial discussions: 20
- Project presentation: 40
- Final paper: 40","- Lectures: 24
- Tutorials: 8
- Reading / Self-study: 80
- Assessment: Essay / Report writing: 15
- Assessment: Presentation (incl preparation): 15
- Total: 142"
"""CCCH9005 – The Chinese Cultural Revolution""","This course is under the thematic cluster(s) of:[This is a certified Communication-intensive (CI) Course which meets all of the requirements endorsed by HKU’s Senate, including (i) the teaching assessment of oral and written communication ‘literacies’; and (ii) at least 40% of the course grade assigned to communication-rich assessment tasks.]The Cultural Revolution (1966-1976) was a defining episode in modern China. In ten years, it dismantled the state, party, and economy with widespread social upheaval and violence, followed by unrelenting oppressive campaigns. It dramatically exploded the inherent contradictions of the Communist State. It has exerted a major impact on the direction of Chinese politics, economic reforms, and public protests. This course explores the causes, processes, and impact of the Cultural Revolution (CR), asking why millions of people participated in the CR, who were the agents responsible for the CR, what determined the CR’s multifaceted courses, and what legacy the CR left for the following reform era and the coming future. It introduces students to key intellectual ideas and methodologies from multi-disciplines – history, political and social science, literature, and film. Students will learn to critically assess sources and statements, through which to discover how history is continuously constructed and contested.","Courses will be offered four times
Sections 1 and 2 – First semester (Wed); Sections 3 and 4 – Second semester (Wed)","- Dr A. Wang School of Chinese, Faculty of Arts: Tel: 3917 7308 Email: awang@hku.hk
- Dr A. Wang School of Chinese, Faculty of Arts: Tel: 3917 7308 Email: awang@hku.hk
","- In-class discussion: 25
- Tutorial discussion and debate: 25
- In-class test: 50","- Lectures: 24
- Tutorials: 8
- Reading / Self-study: 56
- Film viewing, internet research: 19
- Assessment: Essay / Report writing: 16
- Assessment: Presentations (incl preparation): 12
- Assessment: In-class test: 2
- Total: 137"
"""CCST9063 – The Unseen: Invaders, Healers, and the Microbial World""","Microorganisms are very small organisms that often can only be seen under microscope, but that form communities in many parts of our body and play important roles in maintenance of our health. While some microorganisms are capable of causing diseases, the vast majority of them can co-exist with us in harmony and some even have positive effects on our bodies. Most interestingly, the microorganism composition within each person is unique, similar to a fingerprint. In this interdisciplinary course, we will cover: 1) the types of microorganisms that can be normally found within our body; 2) the importance in the maintenance of a balanced microbial community within our body for a healthy life; 3) how modern medicine and lifestyles can affect our microbial community and hence our health; 4) current opinions in using microorganisms and microorganism-derived compounds as therapeutic agents from both Western and traditional Chinese medicine point of views; 5) introduce some basic tools to study and identify disease-causing microorganisms; and 6) explore some controversial issues in the prevention and management of infectious diseases. Throughout the course, we will move back and forth between areas of scientific knowledge and the student’s own experience of an intimate “community” beyond “normal” perception.[There will be a 3-hour field trip and a 1-hour lap tour (tentatively) scheduled for Saturday afternoon during Reading Week which are compulsory.]",Second semester (Wed),"- Dr M.L. Yeung Department of Microbiology, LKS Faculty of Medicine: Tel: 2255 2592 Email: pmlyeung@hku.hk
- Dr M.L. Yeung Department of Microbiology, LKS Faculty of Medicine: Tel: 2255 2592 Email: pmlyeung@hku.hk
- Dr Jade L.L. Teng Department of Microbiology, LKS Faculty of Medicine: Tel: 2255 4892 Email: llteng@hku.hk
- Dr S.S.Y. Wong Department of Microbiology, LKS Faculty of Medicine: Tel: 2255 4892 Email: samsonsy@hku.hk
- Dr K.H. Kok Department of Microbiology, LKS Faculty of Medicine: Tel: 2255 4892 Email: khkok@hku.hk 
","- In-class test: 33
- Essay: 33
- Tutorial participation: 34","- Lectures: 20
- Tutorials: 8
- Fieldwork / Visits: 10
- Reading / Self-study: 47
- Practicals: 8
- Assessment: Essay writing: 25
- Assessment: In-class test: 2
- Total: 120"
"""CCST9020 – Sustainable Development of the Built Environment""","This course is under the thematic cluster(s) of:“First we shape our buildings; thereafter they shape us.” (Winston Churchill)An ever-growing awareness of the adverse impacts that humans are having upon the natural environment is prompting a greater public awareness of the need to live in a sustainable manner. An opportunity to enact such a manner of living is no greater than the very place we spend a significant portion of our lives: the built environment. The sustainable functioning of large cities, such as Hong Kong, offers an ideal opportunity to positively influence the present and future impact of human activities on our planet.Students of this course should gain an informed understanding of the central issues associated with sustainable development of the built environment and the ways in which these issues have been responded to throughout history and the present day. The central question is about continued quality development of the built environment into the future. Students will develop their ability to critically reflect on the different strategies, best practices and technologies to tackle issues of the built environment in a systematic manner.Topics specific to this course include (i) global issues related to the natural and built environment, (ii) the sustainable development framework applied to the built environment and associated technologies, (iii) relevant ethical, socio-economic, philosophical and political issues and the role of different stakeholders, (iv) energy and carbon, and (v) case studies locally and abroad. Students will be expected to attend lectures and tutorials, participate in tutorial discussions, search literature and read widely, and also undertake a field trip (within Hong Kong) and report on their learning experience.[A half-day field trip will be held off-campus in Hong Kong during Reading Week. Three options of time will normally be provided for the field trip, and students will be required to choose one for participation.]",First semester (Wed),"- Professor K. Shih Department of Civil Engineering, Faculty of Engineering: Tel: 2859 1973 Email: kshih@hku.hk
- Professor K. Shih Department of Civil Engineering, Faculty of Engineering: Tel: 2859 1973 Email: kshih@hku.hk
- Dr Zhiqian Zhang Department of Civil Engineering, Faculty of Engineering: Email: zzq007@connect.hku.hk
- Professor C.K. Mak Department of Civil Engineering, Faculty of Engineering: Email: ckmak@hku.hk
","- Assignments: 10
- Participation in tutorial discussions: 15
- Written report: 15
- Presentation: 20
- Examination: 40","- Lectures: 24
- Tutorials: 10
- Fieldwork / Activity during reading week: 3.5
- Reading / Self-study: 48
- Assessment: Assignments: 1
- Assessment: Individual report on group project: 18
- Assessment: Oral presentation (incl preparation): 18
- Assessment: Examination: 2
- Total: 124.5"
"""CCGL9054 – Responding to the Challenges of Aging Societies""","This course is under the thematic cluster(s) of:The magnitude of demographic changes, including falling birth rates and rising life expectancy, has been substantial in the last two centuries. Such trends raise a host of social and economic questions for our society. This course examines whether government policies and individual behavior respond appropriately and adequately to these population changes, to sustain economic development and maintain the well-being of all citizens.This course has three components. First, it briefly reviews the history of global demographic changes, and their socio-economic effects. Second, it uses cross-country comparisons to illustrate how some current problems in various countries may be related to behavioral and policy issues which originated from an earlier era. Lastly, we will examine appropriate individual behavior and government policies in the coming decades when societies such as Hong Kong, China, and others around the world are aging rapidly.Students taking this course are expected to understand the current socio-economic effects of previous demographic changes. Moreover, the course enables them to have self-reflection on whether, and in what sense, their current behavior and future plans related to work, saving decisions, health-related activities, and retirement decisions are appropriate in light of the emerging demographic landscape. They are also given the opportunities to start thinking about appropriate policies for our society, both locally and globally, to face these new challenges.",First semester (Sat),"- Professor S.H. Lau Faculty of Business and Economics (Economics): Tel: 2857 8509 Email: laushp@hku.hk
- Professor S.H. Lau Faculty of Business and Economics (Economics): Tel: 2857 8509 Email: laushp@hku.hk
","- In-class test: 30
- Tutorial participation: 20
- Reflection writing: 20
- Project: 30","- Lectures: 24
- Tutorials: 10
- Reading / Self-study: 30
- Assessment: Essay / Report writing: 50
- Assessment: Presentation (incl preparation): 5
- Assessment: In-class test: 1
- Total: 120"
"""CCST9038 – Science and Science Fiction""","This course is under the thematic cluster(s) of:[This is a certified Communication-intensive (CI) Course which meets all of the requirements endorsed by HKU’s Senate, including (i) the teaching assessment of oral and digital communication ‘literacies’; and (ii) at least 40% of the course grade assigned to communication-rich assessment tasks.]Science fiction represents a blend of science, social science and arts. It frequently draws inspiration from science, as well as addressing the social issues relevant today by highlighting certain social aspects. Science fiction also serves to popularize science and affects public opinion about certain scientific and technological issues. Therefore, there is a complex relationship between science and science fiction, and understanding this relationship requires its analysis from multiple perspectives.This course will cover the topics of the influence of science on science fiction, the influence of science fiction on science, and the influence of science fiction on public perception of science and scientists. These topics will be discussed in the context of examples of science fiction works dealing with space exploration and space travel, time travel, near future fiction, and science fiction dealing with social issues. The science concepts involved in these topics will be briefly explained at a layperson level, and the main emphasis will be placed on critical thinking and analyzing interdisciplinary connections and relationships.",Second semester (Wed),"- Professor A. Djurisic Department of Physics, Faculty of Science: Tel: 2859 7946 Email: dalek@hku.hk
- Professor A. Djurisic Department of Physics, Faculty of Science: Tel: 2859 7946 Email: dalek@hku.hk
","- Group presentation: 45
- Short essays: 40
- In-class test: 15","- Lectures: 22
- Tutorials: 12
- Reading / Self-study: 60
- Assessment: Essay / Report writing: 25
- Assessment: Presentation (incl preparation): 30
- Assessment: In-class test (incl preparation): 12
- Total: 161"
"""CCHU9090 – The Love We Give and the Lies We Tell: The Ethics of Relationships""","This course is under the thematic cluster(s) of:From dating apps to family life, Instagram to the workplace, we all want to have good relationships and live a good life. What does that look like in the modern world? Everyday life is complex, and we are often presented with relationships, situations, and technologies that ask us to make compromises, whether we know it or not. This course looks at some of these everyday ethical questions through the lens of different scales of human relationships. It will equip students with ethical frameworks through which to view these relationships, enabling them to identify and develop their own values to navigate them. It will examine five key relationships through cross-cultural perspectives: (1) with oneself—including self-care, self-forgiveness, and conscience; (2) with friendship and dating; (3) with one’s immediate community—including family and professional life; (4) the larger society in which one lives—including social media and the politics of respect; and (5) with the transcendence of mystery, the divine, and the sacred—including urban space and the ecological other with which we participate.",Second semester (Wed),"- Dr C. Hildebrand Hong Kong Institute for the Humanities and  Social Sciences: Tel: 3917 5921 Email: carlh@hku.hk
- Dr C. Hildebrand Hong Kong Institute for the Humanities and  Social Sciences: Tel: 3917 5921 Email: carlh@hku.hk
","- Tutorial participation: 10
- In-class discussion: 10
- Reflective writing: 30
- In-class presentation: 20
- Video report: 30","- Lectures: 24
- Tutorials: 8
- Reading / Self-study: 36
- Assessment: Essay / Report writing: 36
- Assessment: Presentation (incl preparation): 6
- Assessment: In-class assessments: 12
- Total: 122"
"""CCGL9053 – Suicide: Risks, Research, and Realities""","This course is under the thematic cluster(s) of:Nothing surpasses life and death, and the complicated decision to take one’s own life, as an issue of profound significance. Despite the advances in quality of life that have been achieved, the World Health Organization estimates one suicide death worldwide every 40 seconds. Why do some countries have higher suicide rates than others? What can explain the cross-border trends and discrepancies for suicides in Hong Kong in relation to Mainland China and the rest of the world? How are new trends in social media informing suicide research? What are the biochemical and neurological links between depression, substance abuse, and suicide? And, finally, what new developments have occurred in the field of suicide prevention?In this course, students will gain a wide range of perspectives (social science, neuroscience, ethics, and community outreach) to enlighten their understanding of suicide and its prevention. We will traverse an arc that encompasses the very small scale (neurotransmitters on brain cells), to individuals (communication, bereavement, shame, guilt, psychological states), to societal subpopulations (at risk groups, means restriction strategies, media effects), to the world at large (global trends).",First semester (Wed),"- Professor P.S.F. Yip HKJC Centre for Suicide Research and Prevention, Faculty of Social Sciences: Tel: 2831 5232 Email: sfpyip@hku.hk
- Professor P.S.F. Yip HKJC Centre for Suicide Research and Prevention, Faculty of Social Sciences: Tel: 2831 5232 Email: sfpyip@hku.hk
","- Quizzes: 16
- Participation in lectures and tutorials: 24
- Reflection paper: 30
- Group Project: 30","- Lectures: 24
- Tutorials: 8
- Reading / Self-study: 30
- Film screening and discussion: 3
- Assessment: Presentation (incl preparation): 20
- Assessment: Essay writing: 24
- Assessment: In-class quizzes (incl preparation): 15
- Total: 124"
"""CCGL5048 – Global Crime and Injustice (Online)""","This course is under the thematic cluster(s) of:[Lectures and tutorials of this course will be delivered online.]This course aims to introduce students to the varied ways of thinking about the crime problem and the consequences of the globalization of economic, political and cultural activities across the world. It introduces a number of key concepts in sociology, criminology and human rights that will help students develop a more inclusive and imaginative picture of how their lives are shaped by events and social institutions far removed from their local contexts and the range of harms that individuals and communities may be subjected to across the global North and South divide. Just as ‘global’ issues such as warfare, human trafficking, and environmental problems must be understood in an international context, so too must traditionally ‘local’ arenas of criminological interest be located within a comparative perspective, and understood as being shot-through with transnational and global dimensions. Overall, the course will examine whether and how globalization may bring various risks and new harms which challenge our conventional understanding of the problem of crime and justice. In this context, there is growing recognition of the importance of new geographical sites of knowledge production, in particular those beyond traditional Anglo-American bases of power. This course will therefore equip students with the theoretical and methodological tools to ‘reach for the global’ in their criminological imagination by drawing on a range of case-studies framed from the global and comparative perspective. ",Second semester (Wed),"- Dr P. Joosse Department of Sociology, Faculty of Social Sciences: Tel: 3917 8533 Email: pjoosse@hku.hk
- Dr P. Joosse Department of Sociology, Faculty of Social Sciences: Tel: 3917 8533 Email: pjoosse@hku.hk
","- Problem-based learning sessions: 30
- Individual self-reflection portfolio: 30
- Group project: 40","- Lectures: 24
- Tutorials: 10
- Reading / Self-study: 25
- Assessment: Essay / Report writing: 30
- Assessment: Debate: 20
- Assessment: Group project: 40
- Total: 149"
"""CCGL5005 – Poverty, Development, and the Next Generation: Challenges for a Global World (Online)""","This course is under the thematic cluster(s) of:[Lectures and tutorials of this course will be delivered online.]This course examines the ways in which poverty and inequality affect the lives of people around the world, with a special focus on the lives of young people. It is also related to critical issues relative to social and economic development, which pertain to sustainability, progress and civilization building. Some of the questions that the course will focus on are such as: What are the challenges faced by people living in poverty? To what extent are inequality trends transforming societies and bringing about new forms of poverty? What actions can individuals and organizations take to help young people better meet these challenges? We examine these questions in the context of current debates over international development as well as case studies of organizations involved in the fight against poverty.",First semester (Wed),"- Dr H. Horta Faculty of Education (Social Contexts and Policies of Education): Tel: 2859 2525 Email: horta@hku.hk
- Dr H. Horta Faculty of Education (Social Contexts and Policies of Education): Tel: 2859 2525 Email: horta@hku.hk
","- Reflective writing: 15
- Photo essay: 15
- Critique essay: 20
- Group presentation: 30
- Tutorial participation: 15
- Lecture participation: 5","- Lectures: 24
- Tutorials: 8
- Out of class experiences: 10
- Reading / Self-study: 46
- Assessment: Group presentation (incl preparation): 34
- Total: 122"
"""CCHU9013 – Cultural Heritage in the Contemporary World""","Welcome to the world of cultural heritage! This course examines the background, debates, policies, and politics of cultural heritage from interdisciplinary perspectives, particularly through the sociological and anthropological lens. UNESCO includes a wide range of definitions of cultural heritage, such as ‘tangible’ and ‘intangible’ heritage. All categories of cultural heritage are now regarded as essential to community building, proper governance, and economic development. The preservation, conservation, destruction, demolition, listing and delisting of heritage sites and historic documents have regularly attracted media and public attention, commercial interest, and contention among different communities. By introducing thematic issues through case examples from Hong Kong and other places around the world, students will be introduced to basic readings on cultural heritage, conservation policies, heritagization, tourism industries and the latest trends of heritage preservation.There are four key themes in our course. First, we will explore the meaning of cultural heritage, and highlight some general issues and approaches to the study of heritage. Second, we will critically examine the socio-cultural significance of cultural heritage with different case examples. Third, we will consider the management of cultural heritage, including different preservation and conservation methods, as well as the politics behind the making and protection of heritage. Finally, we will look at the uses of cultural heritage in urban development and tourism. Together, we will explore our cultural stories, rituals, architectures, and ways of living. Come learn with us the cultural richness of Hong Kong and beyond.[An optional field trip will be arranged during Reading Week.]",First semester (Wed),"- Dr T. McDonald Department of Sociology, Faculty of Social Sciences: Tel: 3917 1105 Email: mcdonald@hku.hk
- Dr S.W.L. Cheung Department of Sociology, Faculty of Social Sciences: Tel: 3917 2064 Email: stevecwl@hku.hk
","- Tutorial presentation and participation: 20
- Group project: 50
- Written assignment: 30","- Lectures: 24
- Seminars / Tutorials: 10
- Reading / Self-study: 20
- Assessment: Essay / Report writing: 30
- Assessment: Presentation (incl preparation): 40
- Assessment: Homework: 8
- Total: 132"
"""CCGL9022 – Globalization in Question: Human and Economic Consequences""","This course explores how globalization affects developed and developing countries and societies around the world. It enables students to understand how their own lives and personal choices are shaped by global interconnectedness. The first part of the course has two components. First, it overviews globalization: what it is, how it started, and its positive and negative effects. Contemporary theories of globalization are introduced. Then it examines today’s global governance system (through international organizations) and how international, intergovernmental, and non-governmental organizations (NGOs) drive globalization, and respond to world challenges, such as economic slowdown and environmental degradation.In this part of the course, students will compare and analyze how diverse individuals’ lives are impacted by globalization. Major factors include migration; market forces; global climate change; technology; education; and movement of cultures, values, religions, and ideologies… for better and for worse. Central to the course will be the question of how globalization has changed the lives of students, teachers, communities, governments, and international organizations around the world. The cases invite students to reevaluate the major theoretical orientations to globalization discussed in the course, reflect on major debates about globalization, and hypothesize its future impacts.",First semester (Wed),"- Professor L. Jackson Faculty of Education (Social Contexts and Policies of Education): Tel: Email: lizj@hku.hk
- Professor L. Jackson Faculty of Education (Social Contexts and Policies of Education): Tel: Email: lizj@hku.hk
","- Case study preparation: 15
- Group presentation: 25
- Term paper: 35
- Class participation: 25","- Lectures: 24
- Tutorials: 12
- Reading / Self-study: 60
- Assessment: Homework assignments: 4
- Assessment: Essay writing: 20
- Assessment: Presentation (incl preparation): 12
- Total: 132"
"""CCST9047 – The Age of Big Data""","This course is under the thematic cluster(s) of:We are entering the “Age of Big Data” – an extremely large amount of information is created every day, which is revolutionizing science and technology, governments, economy, and international development. A variety of sources contribute to the Big Data, including the Internet, Wikipedia, social networks (e.g. Facebook), micro blogs, mobile phones, and cameras. This era of “information burst” has brought convenience to our daily lives. More recently, the emergence of foundation models (e.g., GPT) is also an outcome of big data, massive high-quality is the fuel to the success training of these large machine learning models. However, the availability of such a vast amount of information has also created many problems. For example, reported incidents of leakage of private data, due to the use of the Foxy software, and the loss of USB drives that contain thousands of patients’ records, have raised serious legal and social concerns.The goal of this course is to engage students in examining the critical issues that they could encounter in the Age of Big Data. They will examine how Big Data is affecting our society and daily lives and how Big Data is used in our daily life. They will study the security and credibility issues of Big Data. They will also address the issues of organizing and exploring Big Data. Solutions proposed in legal, technological, and education domains will be explored and discussed.",Second semester (Wed),"- Dr D. Zou Department of Computer Science, Faculty of Engineering: Tel: 2219 4614 Email: dzou@cs.hku.hk
- Dr D. Zou Department of Computer Science, Faculty of Engineering: Tel: 2219 4614 Email: dzou@cs.hku.hk
","- Class participation: 5
- Problem-based Learning sessions: 25
- Group projects: 34
- Quizzes: 36","- Lectures: 24
- Tutorials: 12
- Reading / Self-study: 20
- Group projects and case studies: 30
- Assessment: Report writing: 15
- Assessment: Presentation (incl preparation): 20
- Total: 121"
"""CCGL9040 – Energy Futures, Globalization and Sustainability""","This course is under the thematic cluster(s) of:The course explores the relationships between energy, globalization and sustainability at the global, regional and local levels. The course examines how globalization affects energy supply and use, and how energy systems affect economies, societies and our environment. Using examples from developing and developed countries, the course analyses the ways in which processes of globalization, energy governance and sustainability interact. It explores the problems that arise, and how countries develop strategies to manage these problems. The course also argues that localised community-based initiatives have the potential of making major contributions to addressing energy sustainability issues internationally. Through examining the rise of energy communities in other countries, students will be inspired to explore the possibilities of developing such initiatives in the local Hong Kong context.[A compulsory one-day workshop field exercise will take place during Reading Week.]",Second semester (Wed),"- Dr. V.H.Y. Chu Centre for Civil Society and Governance, Faculty of Social Sciences: Tel: 3917 5539 Email: vivianhy@hku.hk
- Dr. V.H.Y. Chu Centre for Civil Society and Governance, Faculty of Social Sciences: Tel: 3917 5539 Email: vivianhy@hku.hk
- Dr W.W.Y. Law Centre for Civil Society and Governance, Faculty of Social Sciences: Tel: 3917 7392 Email: wwylaw@hku.hk
- Dr. J.M. Williams Centre for Civil Society and Governance, Faculty of Social Sciences: Tel: 3917 1446 Email: jw852@hku.hk
","- Presentation: 40
- Individual essay: 40
- Participation: 20","- Lectures: 24
- Tutorials: 8
- Workshop / Visits: 6
- Reading / Self-study: 60
- Assessment: Essay / Report writing: 25
- Assessment: Group project presentation (incl preparation): 15
- Total: 138"
"""CCHU9032 – Language, Institution and Power""","This course is under the thematic cluster(s) of:In this course we will examine the issues of power and how it relates to language use in various institutions such as law, medicine, and business among others. Language presents one of the most important (but not exclusive) power resources. We will learn that language can be both powerful and empowering. We will discuss how people in power can influence the ways in which language is used, and exercise control over access to language by others. We will also examine examples of how these others, in their turn, can contest and negotiate power. In language power can be expressed in a more or less overt ways. To minimize opposition, for example, power is increasingly exercised covertly or indirectly in different institutions. A particular attractive feature of the course is that we will examine real-life language data collected in a number of Hong Kong institutions. We will also discuss similarities and the differences in institutional language practices across different sociocultural contexts including Hong Kong and other countries and Asia and beyond.",First semester (Wed),"- Dr O.A. Zayts School of English, Faculty of Arts: Tel: 3917 7275 Email: zayts@hku.hk
- Dr D.M. Edmonds School of English, Faculty of Arts: Tel: 3917 4486 Email: edmonds@hku.hk
","- Group project: 45
- Individual presentation: 35
- Participation in tutorial discussions: 20","- Lectures: 24
- Tutorials: 12
- Reading / Self-study: 60
- Assessment: Discussion forum: 5
- Assessment: Essay / Report writing: 20
- Total: 121"
"""CCST9085 – Inspiration from the Living World""","This course is under the thematic cluster(s) of:It is important to remind ourselves that human existence is rooted in the natural world. We rely heavily on a wide range of species that we often take for granted in our modern tech driven society, including water and food supplies, disease protection, medicinal sources, base material for many consumer products. Venturing back to pre-human existence, our very evolution has been shaped by the changing living world around us, influencing our ancestral lineages into our current fundamental form and mindsets. Subsequently, human society continues to move ever forward, which in-turn continues to shape the world around us leading to a new horizon of biological diversity. Given the high impact of human decisions on biological diversity, our current society will need to decide how we will approach this future horizon for the benefit of human society and the amazing biological diversity we rely upon.This course will explore the diversity of life and its relationship with human evolution and modern elements of human society. Beginning with an understanding of the origination and importance of biodiversity this course will explore the integral role of the natural world in shaping modern human society and culture. Delving deeper into current aspects of human society the course will assess the direct impacts of biological diversity on human sustainability, including food, medicine and antagonistic interactions. Subsequently the course will encourage participants to engage critically to evaluate the current and future role biological diversity is destined to play as human society continues to develop. Finally the course will explore the impact of biological diversity on the creative elements of human culture stemming from ancient mythology to modern inspiration in art and recreational activities.[There will be a compulsory one-day field trip to the Hong Kong Wetland Park scheduled during Reading Week] ",Second semester (Wed),"- Dr M.S. Seymour School of Biological Sciences, Faculty of Science: Tel: 2299 0608 Email: matsey@hku.hk
- Dr M.S. Seymour School of Biological Sciences, Faculty of Science: Tel: 2299 0608 Email: matsey@hku.hk
- Dr D.M. Baker School of Biological Sciences, Faculty of Science: Tel: 2299 0606 Email: dmbaker@hku.hk
","- Class participation: 5
- Writing assignments: 15
- Quizzes: 15
- Individual student journal: 20
- Oral presentation: 20
- Final test: 25","- Lectures: 24
- Tutorials: 12
- Fieldwork / Visits: 4
- Reading / Self-study: 36
- Assessment: Journal: 10
- Assessment: Essay / Report writing: 20
- Assessment: Presentation (incl preparation): 10
- Assessment: In-class test (incl preparation): 15
- Total: 131"
"""CCGL9074 – Unleashing the Power of Big Data in Global Cities""","This course is under the thematic cluster(s) of:With only 3% of all land on earth, cities shelter 55% of the worldwide population and generate a staggering 80% GDP of the global economy. In recent years, the wide availability of urban big data has provided an unprecedented perspective in understanding urban dynamics and addressing various critical urban issues. This course will guide students to explore various big data sources covering different urban aspects and the extensive information carried by big data. We will introduce and discuss how to use big data to understand various urban dynamics, including but not limited to the everyday issues of housing, mobility, consumer markets, social interactions, and environmental sustainability. Each week, students are required to undertake up to one hour of pre-class online materials, attend a hands-on tutorial, and join a one-hour lecture session. The tutorials enable students to learn big data by playing with some in different urban problem contexts, offering a hands-on experience to gain a broader perspective and a deeper understanding of big data for cities. Course Learning Outcomes",First semester (Wed),"- Dr Y. Zhou Department of Urban Planning and Design, Faculty of Architecture: Tel: 3917 1785 Email: yulunzhou@hku.hk
- Dr Y. Zhou Department of Urban Planning and Design, Faculty of Architecture: Tel: 3917 1785 Email: yulunzhou@hku.hk
- Dr T. Yang Department of Urban Planning and Design, Faculty of Architecture: Tel: 3917 4500 Email: tianren@hku.hk
","- Participation in online activities: 10
- Tutorial exercises : 30
- Reflective Journal: 10
- Group project: 40
- Peer evaluation: 10","- Online course material: 8
- Tutorials: 16
- Lecture: 12
- Reading / Self-study: 38
- Assessment: Assignments and group projects: 48
- Total: 122"
"""CCHU9071 – Man Up: Masculinities in the Making""","This course is under the thematic cluster(s) of:Today, men are facing what many consider a crisis. Male students are outnumbered by females at most universities in the developed world. More young men are being out-earned by their wives. Some men demand more rights in education and parenting, and argue that feminism has victimized men. Meanwhile, popular culture continues to define men as hyper-masculine, violent and homophobic. These phenomena raise the same questions: Where do men stand today? What is the future of men?Man Up explores from various perspectives how men have confronted, deflected or negotiated the challenges facing them. We look at why, across different times and spaces, some masculine traits are celebrated and some are demonized. Why are single and affluent men, for example, named ‘the golden bachelors’? Why are men more likely to be depicted as criminals than women?Man Up shows how the definition of masculinity today is a result of physiological, social and economic influences. It seeks to explore complex debates around such issues as male sexuality, family relations and nation-building. Through investigating different views of masculinity through history and other disciplines, students will reflect upon and challenge existing rhetorics, tropes and opinions.",First semester (Wed),"- Dr C.L. Tsang School of Humanities (History), Faculty of Arts: Tel: 3917 2864 Email: cctsang1@hku.hk
- Dr C.L. Tsang School of Humanities (History), Faculty of Arts: Tel: 3917 2864 Email: cctsang1@hku.hk
","- Tutorial presentations and debates: 40
- In-class assessments: 20
- Video essay: 40","- Lectures: 24
- Tutorials: 8
- Reading / Self-study: 38
- Assessment: Essay / Report writing: 30
- Assessment: Presentation (incl preparation): 20
- Total: 120"
